1,Appetizer - Lobster Phyllo Roll,0.79,20,5
2,Soup - Campbells,9.75,1,6
3,"Wine - Red, Cabernet Sauvignon",5.64,44,1
4,Chocolate - Milk Coating,2.68,13,2
5,Ezy Change Mophandle,6.51,19,2
6,"Wine - Red, Cabernet Sauvignon",5.17,16,3
7,"Turkey - Breast, Double",6.89,12,2
8,Cilantro / Coriander - Fresh,4.2,40,6
9,"Fish - Scallops, Cold Smoked",7.67,27,4
10,Chicken Thigh - Bone Out,2.36,28,6
11,"Quail - Whole, Boneless",6.13,25,3
12,Beer - Molson Excel,2.22,8,5
13,Rice - Wild,7.74,42,4
14,Cake - Box Window 10x10x2.5,8.57,17,3
15,Pork - Caul Fat,1.91,10,2
16,Cheese - Cottage Cheese,6.2,2,3
17,Relish,2.52,8,6
18,Lemon Pepper,6.01,15,1
19,"Cheese - Havarti, Salsa",7.77,13,6
20,Chicken - Soup Base,8.55,34,3
21,Bread Base - Toscano,9.33,7,3
22,Rabbit - Frozen,2.59,8,1
23,Wine - Rosso Del Veronese Igt,3.35,7,1
24,Beef - Sushi Flat Iron Steak,3.63,27,2
25,Salmon - Sockeye Raw,5.89,43,6
26,Berry Brulee,1.17,15,6
27,Tea Peppermint,8.69,13,4
28,Flour - Teff,9.85,45,6
29,"Beef - Tongue, Fresh",6.68,13,5
30,Coffee - Almond Amaretto,5.7,24,2
